H 1.00784
He 4.00260
Li 6.938
Be 9.01218
B 10.806
C 12.00000
N 14.00307
O 15.99491
F 18.99840
Ne 20.17970
Na 22.98977
Mg 24.3050
Al 26.98154
Si 28.085
P 30.97376
S 32.065
Cl 35.453
Ar 39.948
K 39.0983
Ca 40.078
Sc 44.95591
Ti 47.867
V 50.9415
Cr 51.9961
Mn 54.93804
Fe 55.845
Co 58.93319
Ni 58.6934
Cu 63.546
Zn 65.38
Ga 69.723
Ge 72.630
As 74.92160
Se 78.971
Br 79.904
Kr 83.798
Rb 85.4678
Sr 87.62
Y 88.90584
Zr 91.224
Nb 92.90637
Mo 95.95
Tc 98.00000
Ru 101.07
Rh 102.90550
Pd 106.42
Ag 107.8682
Cd 112.414
In 114.818
Sn 118.710
Sb 121.760
Te 127.60
I 126.90447
Xe 131.293
Cs 132.90545
Ba 137.327
La 138.90547
Ce 140.116
Pr 140.90766
Nd 144.242
Pm 145.00000
Sm 150.36
Eu 151.964
Gd 157.25
Tb 158.92535
Dy 162.500
Ho 164.93033
Er 167.259
Tm 168.93422
Yb 173.054
Lu 174.9668
Hf 178.49
Ta 180.94788
W 183.84
Re 186.207
Os 190.23
Ir 192.217
Pt 195.084
Au 196.96657
Hg 200.592
Tl 204.38
Pb 207.2
Bi 208.98040
Po 209.00000
At 210.00000
Rn 222.00000
Fr 223.00000
Ra 226.00000
Ac 227.00000
Th 232.0377
Pa 231.03588
U 238.02891
Np 237.00000
Pu 244.00000
Am 243.00000
Cm 247.00000
Bk 247.00000
Cf 251.00000
Es 252.00000
Fm 257.00000
Md 258.00000
No 259.00000
Lr 262.00000
Rf 267.00000
Db 270.00000
Sg 271.00000
Bh 270.00000
Hs 277.00000
Mt 276.00000
Ds 281.00000
Rg 282.00000
Cn 285.00000
Nh 286.00000
Fl 289.00000
Mc 290.00000
Lv 293.00000
Ts 294.00000
Og 294.00000
